credit.policy,purpose,int.rate,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid,installment
1,debt_consolidation,0.1189,11.35040654,19.48,737,5639.958333,28854,52.1,0,0,0,0,829.1
1,credit_card,0.1071,11.08214255,14.29,707,2760,33623,76.7,0,0,0,0,228.22
1,debt_consolidation,0.1357,10.37349118,11.63,682,4710,3511,25.6,1,0,0,0,366.86
1,debt_consolidation,0.1008,11.35040654,8.1,712,2699.958333,33667,73.2,1,0,0,0,162.34
1,credit_card,0.1426,11.29973224,14.97,667,4066,4740,39.5,0,1,0,0,102.92
1,credit_card,0.0788,11.90496755,16.98,727,6120.041667,50807,51,0,0,0,0,125.13
1,debt_consolidation,0.1496,10.71441777,4,667,3180.041667,3839,76.8,0,0,1,1,194.02
1,all_other,0.1114,11.00209984,11.08,722,5116,24220,68.6,0,0,0,1,131.22
1,home_improvement,0.1134,11.40756495,17.25,682,3989,69909,51.1,1,0,0,0,87.19
1,debt_consolidation,0.1221,10.20359214,10,707,2730.041667,5630,23,1,0,0,0,84.12
1,debt_consolidation,0.1347,10.4341158,22.09,677,6713.041667,13846,71,2,0,1,0,360.43
1,debt_consolidation,0.1324,11.83500896,9.16,662,4298,5122,18.2,2,1,0,0,253.58
1,debt_consolidation,0.0859,10.93310697,15.49,767,6519.958333,6068,16.7,0,0,0,0,316.11
1,small_business,0.0714,11.51292546,6.5,747,4384,3021,4.8,0,1,0,0,92.82
1,debt_consolidation,0.0863,9.487972109,9.73,727,1559.958333,6282,44.6,0,0,0,0,209.54
1,major_purchase,0.1103,10.73891524,13.04,702,8159.958333,5394,53.4,1,0,0,0,327.53
1,all_other,0.1317,10.52277288,2.26,672,3895.958333,2211,88.4,0,0,0,0,77.69
1,credit_card,0.0894,11.60823564,7.07,797,6510.958333,7586,52.7,1,0,0,0,476.58
1,debt_consolidation,0.1039,10.49127422,3.8,712,2760,8311,59.8,0,0,0,0,584.12
1,major_purchase,0.1513,11.00209984,2.74,667,1126.958333,591,84.4,3,0,0,0,173.65
1,all_other,0.08,11.22524339,16.08,772,4888.958333,29797,23.2,1,0,0,0,188.02
1,all_other,0.0863,10.81977828,2.59,797,11951,5656,27.6,0,0,0,0,474.42
1,credit_card,0.1355,11.51292546,7.94,662,1939.958333,21162,57.7,0,0,0,0,339.6
1,credit_card,0.0788,11.73606902,7.05,782,5640.041667,16931,34.6,1,0,0,0,484.85
1,debt_consolidation,0.1229,11.26446411,8.8,672,3760.958333,4822,58.1,0,0,1,0,320.19
1,all_other,0.0901,12.4292162,10,712,1553.958333,14354,36.6,0,2,0,0,159.03
1,all_other,0.0743,11.08214255,0.28,802,4649.958333,1576,5.7,1,0,0,0,155.38
1,debt_consolidation,0.1375,9.998797732,14.29,662,1318.958333,4175,51.5,0,1,0,0,255.43
1,all_other,0.0743,12.20607265,0.28,772,4516.958333,3164,13.7,0,0,0,0,155.38
1,all_other,0.0743,12.20607265,3.72,812,6778.958333,85607,0.7,0,0,0,0,155.38
1,debt_consolidation,0.0807,11.51292546,2.3,742,3148.958333,9698,19.4,0,0,0,0,156.84
1,credit_card,0.1028,9.798127037,6.4,692,7469.958333,8847,26.9,1,1,0,0,275.38
1,home_improvement,0.0743,11.91839057,0,777,7128.958333,6053,19.5,0,0,0,0,155.38
1,home_improvement,0.0807,11.60823564,11.33,762,6059.958333,7274,13.1,0,0,0,0,78.42
1,credit_card,0.087,11.22524339,15.55,757,4770,66033,23,0,0,0,0,158.3
1,all_other,0.0743,11.46163217,3.83,772,2535,3660,6.8,0,0,0,0,155.38
1,credit_card,0.0743,11.35040654,0.31,787,3540,216,0.6,0,0,0,0,155.38
1,credit_card,0.1122,11.28978191,1.21,672,3990,27185,16.1,3,0,1,0,164.23
1,debt_consolidation,0.0996,10.77895629,8.03,707,4320,28329,48.6,1,0,0,0,161.25
